"2M5QYN5F3Q0JMSLIQY3W6B49GHYEAL"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"pieces"	"bit"	"parts"	"portions"	"bits"	"parts"	"articles"	"bits"	"sections"	"portions"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"dots"	"parts"	"parts"	"parts"	"bits"	"parts"	"sections"	"parts"	"parts"	"parts"	"parts"	"parts"	"bits"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"bits"	"bits"	"parts"	"portion"	"parts"	"part"	"bits"	"parts"	"parts"	"parts"	"chunks"	"bits"	"separate part"
"26AI2KYEPLSPDSC5QHNJBOAHRMWOUB"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"diverted"	"distracted"	"changed"	"sent"	"rerouted"	"forked"	"distracted"	"avoided"	"sidetracked"	"moved"	"redirected"	"deflected"	"switched"	"changed"	"coerced"	"redirected"	"redirected"	"altered"	"changed"	"redirected"	"switched"	"changed course"	"redirect"	"stall"	"redirected"	"turned"	"deflected"	"changed"	"changed"	"changed"	"turned"	"redirect"	"misdirected"	"turn"	"changed"	"changed course"	"changed"	"changed"	"switched"	"alter"	"changed"	"deflected"	"turned"	"digressed"	"channeled"	"distracted"	"misled"	"redirected"	"changed"	"changed"	"rerouted"
"2JNL8I9NZW6HKMY8IFHWFT86AO0LVG"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"possessor"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"holder"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"
"2PT727M0IGFKN0TQ2QJVN4VIP25ZE7"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"perils"	"dangers"	"risks"	"risk"	"dangers"	"dangers"	"risks"	"dangers"	"dangers"	"threats"	"dangers"	"dangers"	"dangers"	"risks"	"dangers"	"dangers"	"threats"	"dangers"	"dangers"	"threatens"	"dangers"	"dangers"	"dangers"	"dangers"	"misfortunes"	"dangers"	"risk"	"dangers"	"dangers"	"dangers"	"dangerous"	"dangers"	"dangers"	"risks"	"dangers"	"risks"	"dangers"	"dangers"	"threat"	"danger"	"risks"	"dangers"	"dangers"	"dangers"	"danger"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"risks"
"2L0XKO2L92HEIJ2Q1EPOKCF0DXAFEY"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"retained"	"kept"	"kept"	"held"	"held"	"kept"	"kept"	"kept"	"held"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"contained"	"held"	"kept"	"held"	"stayed"	"kept in"	"kept"	"stayed"	"kept"	"kept"	"positioned"	"kept"	"kept"	"keep"	"absorb"	"kept"	"kept"	"kept"	"captured"	"kept"	"stayed"	"remembered"	"kept"	"stood"	"kept"	"kept"	"kept"	"held"	"kept"	"kept"	"held"	"kept"	"hold"	"kept"	"stayed"
"2GOKW4ZMAZHHXEDZUBFNVVRH2SN9IA"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"residence"	"home"	"house"	"home"	"house"	"home"	"home"	"home"	"office"	"home"	"home"	"house"	"home"	"home"	"home"	"house"	"home"	"home"	"house"	"capital"	"home"	"home"	"house"	"home"	"home"	"seat"	"home"	"manor"	"home"	"home"	"house"	"home"	"home"	"home"	"house"	"home"	"home"	"home"	"home"	"home"	"house"	"house"	"estate"	"house"	"house"	"home"	"house"	"home"	"home"	"home"	"home"
"27PQ67051QKCTETMX1315MGI13KZFP"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"procured"	"got"	"got"	"received"	"obtained"	"obtained"	"gotten"	"got"	"obtained"	"got"	"earned"	"obtained"	"obtained"	"got"	"ousted"	"got"	"got"	"obtained"	"obtained"	"earned"	"got"	"grab"	"acquired"	"achieved"	"obtained"	"got"	"got"	"took"	"complete"	"attained"	"received"	"grabbed"	"got"	"acquired"	"obtained"	"acquired"	"got"	"got"	"attained"	"acquired"	"produced"	"obtained"	"acquired"	"got"	"got"	"obtain"	"acquired"	"got"	"made"	"obtained"	"got"
"2MX3Q0JG5TYMTZOIFF0FHSSSI57JFO"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"convened"	"met"	"gathered"	"met"	"gathered"	"assembled"	"united"	"assembled"	"met"	"joined"	"gathered"	"started"	"gathered"	"gathered"	"ordered"	"gathered"	"gathered"	"gathered"	"assembled"	"met"	"collected"	"called"	"meet"	"assembled"	"met"	"gathered"	"gathered"	"gathered"	"met"	"gathered"	"gathered"	"moot"	"assembled"	"met"	"called"	"summoned"	"met"	"gathered"	"gather"	"assembled"	"assembled"	"met"	"met"	"together"	"met"	"met"	"assembled"	"collected"	"met"	"congregated"	"gathered"
"2IG7QEOZFYQS7ZKDQZ6XZDS4JK7JGN"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"vital"	"essential"	"important"	"important"	"urgent"	"important"	"important"	"important"	"important"	"important"	"crucial"	"important"	"important"	"important"	"key"	"important"	"important"	"necessary"	"mandatory"	"important"	"necessary"	"important"	"need"	"important"	"needed"	"important"	"important"	"needed"	"urgent"	"important"	"important"	"important"	"important"	"important"	"critical"	"crucial"	"needed"	"crucial"	"needed"	"important"	"important"	"important"	"important"	"important"	"important"	"necessary"	"important"	"needed"	"necessary"	"important"	"necessity"
"2IF3V0FK0COK866LQIGKS9LRXEUHO3"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"acquired"	"received"	"got"	"obtained"	"got"	"got"	"gotten"	"received"	"got"	"got"	"received"	"got"	"got"	"obtained"	"got"	"got"	"received"	"got"	"obtained"	"gained"	"got"	"got"	"received"	"got"	"received"	"obtained"	"received"	"take"	"got"	"retrieved"	"gained"	"received"	"got"	"got"	"got"	"got"	"obtained"	"got"	"received"	"got"	"obtain"	"collect"	"got"	"got"	"achieved"	"obtained"	"received"	"found"	"got"	"got"	"receive"
