"2H9YNJ92NJKM6S36N4LH6W2GUYT7CA"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"pieces"	"parts"	"parts"	"parts"	"parts"	"component"	"sections"	"parts"	"parts"	"parts"	"parts"	"parts"	"elements"	"parts"	"parts"	"parts"	"part"	"parts"	"parts"	"parts"	"components"	"parts"	"parts"	"components"	"parts"	"parts"	"parts"	"parts"	"bits"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"parts"	"information"	"parts"	"parts"	"parts"	"bits"	"parts"	"parts"	"parts"	"bits"	"parts"	"parts"	"items"	"parts"	
"2QC8P9Y38TWW35VCY99M8JTAHWPZIV"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"diverted"	"drawn away"	"redirected"	"changed"	"redirected"	"turned"	"moved"	"rerouted"	"changed"	"rerouted"	"led away"	"rerouted"	"redirected"	"sent away"	"redirected"	"changed"	"redirected"	"separated"	"redirected"	"switched"	"redirected"	"redirected"	"rerouted"	"switched"	"rerouted"	"redirected"	"moved"	"moved"	"split"	"redirected"	"changed"	"redirected"	"altered"	"separated"	"moved"	"altered"	"redirected"	"rerouted"	"redirected"	"redirected"	"split"	"turned"	"redirected"	"drawn away"	"veered"	"moved"	"rerouted"	"channeled"	"redirected"	"deflected"	"changed"	"redirected"	
"2QHJMJUNU8LZCEZKKGI9GD8J44X1HF"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"possessor"	"owner"	"buyer"	"owner"	"owner"	"owner"	"owner"	"owner"	"holder"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"holder"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"master"	"owner"	"owner"	"keeper"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"owner"	"teacher"	"owner"	"keeper"	"owner"	"owner"	"holder"	"owner"	"owner"	"owner"	"holder"	"owner"	"owner"	"owner"	
"25CQIHPCGJ2D8OGN0GOH8JPPTRM28J"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"perils"	"dangers"	"dangers"	"difficulties"	"dangers"	"dangers"	"danger"	"restraints"	"problems"	"dangers"	"risks"	"dangers"	"dangers"	"dangers"	"dangers"	"hazards"	"dangers"	"fates"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"situations"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"dangers"	"troubles"	"dangers"	
"2C2CJ011K274PU14U7X1GN46V6YCA5"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"retained"	"kept"	"kept"	"held"	"maintained"	"kept"	"kept"	"held"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"held"	"held"	"kept"	"kept"	"kept"	"kept"	"held"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"kept"	"held"	"regained"	"kept"	"held"	"kept"	"kept"	"kept"	"kept"	"kept"	"maintained"	"kept"	"kept"	"kept"	"kept"	"held"	"kept"	"maintained"	"kept"	"kept"	"held"	"kept"	
"2YDWAVKI62NJWPTR6A09YH6BLUVRJ6"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"residence"	"home"	"home"	"home"	"dwelling"	"home"	"home"	"home"	"home"	"people"	"home"	"home"	"house"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"dwelling"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"home"	"house"	"house"	"home"	"home"	"home"	"home"	"home"	"house"	"home"	"house"	"abode"	"house"	"home"	"home"	"owner"	"home"	
"2SLQ39Z0B6UTUTLOI6JT3RKGQ5BMX1"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"procured"	"obtained"	"gotten"	"found"	"gathered"	"batten"	"aquired"	"grabbed"	"created"	"gotten"	"obtained"	"attained"	"obtained"	"made"	"grabbed"	"gathered"	"obtained"	"acquired"	"made"	"obtained"	"received"	"acquired"	"gathered"	"obtained"	"grabbed"	"obtained"	"obtained"	"grabbed"	"gathered"	"processed"	"obtained"	"gotten"	"gotten"	"collected"	"gotten"	"obtained"	"gotten"	"obtained"	"obtained"	"obtained"	"gotten"	"gathered"	"gathered"	"gathered"	"gotten"	"obtained"	"obtained"	"gathered"	"secured"	"obtained"	"gathered"	"obtained"	
"230KMN9U8P9Y9VLG08930UYIN92UDZ"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"convened"	"opened"	"started"	"assembled"	"called"	"gathered"	"created"	"made"	"called"	"aggregated"	"made"	"brought together"	"gathered"	"called"	"hosted"	"organized"	"assembled"	"held"	"gathered"	"held"	"met"	"started"	"assembled"	"ordered"	"held"	"created"	"assembled"	"called"	"held"	"called"	"assembled"	"called"	"called"	"met"	"gathered"	"started"	"called"	"called"	"organized"	"held"	"assembled"	"assembled"	"organized"	"gathered"	"assembled"	"met"	"assembled"	"gathered"	"assembled"	"opened"	"called"	"called"	"assembled"
"2Z2MN9U8P9Y3EGOG1TUS2YIM1SCEV1"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"vital"	"important"	"critical"	"essential"	"necessary"	"important"	"necessary"	"important"	"important"	"important"	"needed"	"required"	"important"	"necessary"	"required"	"necessary"	"essential"	"needed"	"necessary"	"important"	"needed"	"essential"	"essential"	"necessary"	"necessary"	"essential"	"essential"	"important"	"necessary"	"important"	"important"	"needed"	"important"	"critical"	"needed"	"necessary"	"crucial"	"needed"	"needed"	"necessary"	"important"	"important"	"important"	"important"	"important"	"important"	"needed"	"essential"	"necessary"	"required"	"essential"	"important"	
"2CZ8MZ9O9Z6K2RR6EA8HZRLFR98A1E"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"acquired"	"received"	"gotten"	"got"	"gotten"	"achieved"	"gained"	"gained"	"got"	"gained"	"gotten"	"gotten"	"taken"	"gained"	"got"	"received"	"amassed"	"gained"	"received"	"got"	"received"	"obtained"	"obtained"	"gained"	"got"	"gotten"	"gained"	"obtained"	"received"	"gained"	"gotten"	"obtained"	"gotten"	"gotten"	"achieved"	"started"	"gotten"	"gotten"	"received"	"inherited"	"got"	"achieved"	"gotten"	"gotten"	"received"	"obtained"	"gained"	"gained"	"taken"	"gained"	"got"	"gotten"	
"2OIG5R98D8J311ZGW3KN6CG3NL3UES"	"20ASTLB3L0FBPWA8FU5JZEVE5SUJV7"	"abundance"	"plenty"	"large amount"	"supply"	"a lot"	"amount"	"bounty"	"surplus"	"amount"	"excess"	"excess"	"great amount"	"large amount"	"plenty"	"amount"	"wealth"	"surplus"	"quantity"	"supply"	"amount"	"plenitude"	"amount"	"outpouring"	"plenty"	"amount"	"large amount"	"amount"	"amount"	"surplus"	"portion"	"amount"	"plenty"	"surplus"	"bounty"	"amount"	"amount"	"plenty"	"profusion"	"amount"	"amount"	"amount"	"plenty"	"wealth"	"availability"	"supply"	"plenitude"	"plenty"	"wealth"	"plenty"	"heap"	"growth"	"amount"	
