2JME6AUBXHWSNU75DKMB7WDRM292Y9	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	extruded	squeezed	piped	ejected	displaced	expelled	pushed out	emitted	expelled	expelled	pushed out	pushed	pushed out	pushed out	pushed	expelled	discharged	extended	pushed	ejected	shoved	expelled	pushed out	spit out	ejected	pushed	squeezed	ejected	ejected	thrusted	pushed out	ejected	squeezed	expelled	projected	leaked	removed	pushed	pushed	pushed	blown	ejected	pushed	expelled	pushed	ejected	pushed out	molded	ejected	squeezed	expelled	ejected	pushed
25RZ6KW4ZMAZN4JBPQH0WNNVSM5G75	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	sought	tried	looked	looked	wished	looked	wanted	looked	tried	looked	wanted	looked	tried	looked	hunted	tried	looked	looked	seeked	tried	looked	wanted	seeked	looked	wanted	wanted	wanted	wanted	wanted	wanted	tried	pursued	looked	tried	looked	wished	tried	tried	tried	wanted	looked	worked	looked	tried	tried	find	tried	wanted	looked	tried	looked	looked
2DJINMHGYQ4J9A2VAM6MNFOYZNX8LQ	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	issued	presented	presented	given	delivered	given	given	given	given	presented	given	given	given	given	given	sent	given	awarded	awarded	given	given	provided	given	sent	given	given	provided	given	delivered	provided	given	given	given	treated	given	given	given	given	served	awarded	given	given	given	given	given	given	given	given	given	given	given	given
2WTNFSVGULF3FSKGAY71NS3NZSN8MS	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	diagram	sketch	example	picture	picture	drawing	picture	picture	picture	image	picture	drawing	picture	image	picture	sketch	picture	picture	picture	chart	chart	picture	picture	chart	chart	picture	picture	picture	picture	picture	picture	picture	picture	picture	picture	picture	picture	image	picture	picture	drawing	example	drawing	image	picture	picture	picture	picture	drawing	chart	picture	picture
25KL92HECWA63QQ8GN60KP5KYUXIJ6	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	inhabitants	people	people	people	people	people	citizens	occupants	residents	residents	people	people	natives	residents	occupants	people	people	people	people	people	residents	people	residents	people	people	people	citizens	people	people	people	people	people	residents	citizens	residents	people	residents	citizens	people	people	people	people	citizens	people	people	resident	people	residents	people	people	citizens	people
26DH8MZ9O9Z6QJWJQLQHPRRLGV409Y	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	disciplines	rules	sports	areas	groups	arenas	fields	fields	styles	games	styles	groups	styles	followers	types	areas	fields	areas	regimes	groups	leagues	fields	variants	fields	types	rules	fields	focuses	regimens	types	parts	types	studies	specialties	schools	specialties	groups	styles	areas	students	talents	fields	practices	fields	practices	schools	speciality	branches	teams	sectors	practices	fields
2YJQ6SVQ8H88SDMQPGFB3CI1S215O2	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	occasionally	sometimes	sometimes	some	sometimes	sometimes	seldom	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	some times	sometimes	sometimes	sometimes	random	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	rarely	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes	sometimes
2YJQ6SVQ8H88SDMQPGFB3CI1S21O5L	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	principles	ideas	standards	values	rules	ideas	ideals	truths	structures	tenets	standards	values	rules	ideas	rules	rules	rules	values	rules	rules	ethics	rules	ideas	ideas	dogmas	rules	rules	standards	rules	beliefs	rules	rules	values	rules	rules	ideas	rules	values	laws	traits	standards	beliefs	standards	ideas	morals	rules	ideals	standards	values	rules	standards	rules
217EIB9BAWLSSKHA96OUL3MTSWD2Z0	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	object	goal	goal	goal	goal	idea	goal	goal	goal	idea	goal	goal	goal	goal	goal	goal	point	goal	goal	point	goal	purpose	purpose	goal	goal	goal	goal	goal	goal	goal	goal	goal	goal	goal	thing	goal	goal	goal	goal	goal	goal	goal	goal	thing	thing	task	goal	goal	goal	goal	goal	goal
2J11LY58B727SNA0JV8D96YFT0JT8E	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	garment	covering	clothing	vestment	cloth	outfit	item	clothing	cloth	clothing	cloth	cloth	cloth	cloth	dress	covering	covering	clothing	clothing	clothing	outfit	cloth	clothing	piece of clothing	clothing	piece of clothing	piece of clothing	piece	clothing	cloth	piece of clothing	clothing	clothing	dress	attire	cloth	cloth	cloth	clothing	clothing	clothing	dress	cloth	clothing	skirt	garb	attire	cloth	cloth	wear	article	clothing
22R2HECWA6X34B4WJB3PDKXPUNRLKM	20ASTLB3L0FBPWA8FU5JZEVE5SUJV7	traversed	crossed	crossed	traveled	followed	crossed	crossed	traveled	crossed	traveled	crossed	crossed	traveled	crossed	travelled	went through	crossed	traveled	crossed	traveled	crossed	traveled	crossed	crossed	crossed	travelled	crossed	traveled	traveled	crossed	crossed	crossed	crossed	crossed	crossed	crossed	traveled	traveled	crossed	moved	crossed	went through	crossed	traveled	travelled	travelled	crossed	crossed	traveled	crossed	crossed	crossed
