"2IKA1QP6AUC2C08QBOSXBV0FL32074"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"extruded"	"molded"	"squeeze"	"poke"	"popped"	"blown"	"ejected"	"thrusted"	"squeezed"	"bulged"	"thrust"	"molded"	"mold"	"forced"	"shaped"	"pushed"	"squeezed"	"extended"	"ejected"	"swelled"	"molded"	"pushed through"	"pushed"	"projected"	"squeezed"	"dismiss"	"push"	"expanded"	"squeezed"	"thrusted"	"pushed"	"squeezed"	"squeeze"	"squeezed"	"squeezed"	"expelled"	"forced out"	"to force out"	"squeezed"	"bulged"	"squeezed"	"pressed"	"extended"	"mold"	"expelled"	"molded"	"forced"	"press"	"poked out"	"pushed"	"produced"	"squeezed"		
"2JME6AUBXHWSNU75DKMB7WDRM0V2YR"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"sought"	"searched"	"tried"	"wanted"	"hunted"	"tried"	"aimed"	"pursued"	"follow"	"chased"	"try"	"look"	"pursue"	"help"	"tried"	"tried"	"looked for"	"found"	"desired"	"wanted"	"looked for"	"explore"	"tried"	"looked for"	"tried"	"searched"	"chase"	"looked"	"tried"	"tried"	"tried"	"seek"	"tried"	"tried"	"hunt"	"look"	"tried"	"hunt"	"tried to"	"attempt"	"want"	"chase"	"tried"	"looked"	"try"	"tried"	"found"	"try"	"looked for"	"obtain"	"tried"	"tried"		
"2G4AZHHRRLFQ6BF7Z281SHO9FJHNEO"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"issued"	"given"	"gave"	"delivered"	"sent"	"gave"	"gave"	"published"	"gave"	"gave"	"gave"	"given"	"given"	"released"	"gave"	"send"	"given"	"given"	"give"	"give"	"given"	"given"	"given"	"delivered"	"given"	"gave"	"distributed"	"given"	"given"	"produced"	"supplied"	"gave"	"given"	"released"	"gave out"	"given"	"delivered"	"assigned"	"gave"	"sent"	"give"	"put out"	"assigned"	"gave"	"gave"	"gave"	"given"	"gave"	"gave"	"distributed"	"gave out"	"gave"		
"2SVDP8PJWKUDJVP6FEH3HZ0B7XJI7H"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"diagram"	"sketch"	"picture"	"graph"	"chart"	"blueprint"	"sketch"	"graph"	"chart"	"plan"	"picture"	"chart"	"drawing"	"drawing"	"instruction"	"map"	"chart"	"picture"	"drawing"	"chart"	"drawing"	"chart"	"map"	"drawing"	"chart"	"design"	"drawing"	"blueprint"	"outline"	"sketch"	"picture"	"figure"	"layout"	"instructions"	"picture"	"map"	"drawing"	"drawing"	"graph"	"drawing"	"picture"	"image"	"description"	"blueprint"	"sketch"	"chart"	"plan"	"drawing"	"sketch"	"chart"	"drawing"	"drawing"		
"2UHKPFE4EGDHJ9UPPJ99VZW6IHPI84"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"inhabitants"	"residents"	"citizens"	"residents"	"residents"	"citizens"	"tenants"	"resident"	"residents"	"civilians"	"occupants"	"citizens"	"dwellers"	"residents"	"citizens"	"occupants"	"people"	"people"	"dwellers"	"residents"	"occupant"	"neighbors"	"resident"	"occupants"	"native"	"residents"	"occupants"	"people"	"people"	"tenants"	"denizens"	"lives"	"resident"	"residents"	"citizens"	"residents"	"citizens"	"lives"	"people"	"natives"	"dwellers"	"occupants"	"citizens"	"population"	"residents"	"people"	"citizen"	"residents"	"citizens"	"population"	"residents"	"residents"		
"2TX806UFBNFS13M5JE050W6NH45G27"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"disciplines"	"fields"	"subjects"	"specialties"	"fields"	"intelligences"	"specialty"	"areas"	"corrections"	"area"	"expert"	"subjects"	"authorities"	"fields"	"subjects"	"specialties"	"subjects"	"categories"	"schools"	"subjects"	"fields"	"subjects"	"subjects"	"subjects"	"fields"	"subjects"	"subjects"	"area"	"branches"	"area"	"specialties"	"courses"	"fields"	"subjects"	"area"	"subjects"	"subjects"	"subjects"	"subjects"	"studies"	"order"	"area"	"punishes"	"classes"	"skills"	"practice"	"specialties"	"subjects"	"groups"	"subsect"	"studies"	"subjects"		
"2K6H1XERSQV6CED9LTK3PVWAWN808R"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"occasionally"	"from time to time"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"rarely"	"sometimes"	"hardly"	"seldom"	"once in a while"	"sometimes"	"sometimes"	"at times"	"irregularly"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"usually"	"sometimes"	"sometimes"	"sometimes"	"seldom"	"sometimes"	"sometimes"	"sometimes"	"sometimes"	"infrequently"	"periodically"	"rarely"	"sometimes"	"sometimes"	"sometimes"	"once in a while"	"sometimes"	"infrequently"	"sometimes"	"sometimes"	"intermittently"	"sometimes"	"on occasion"	"sometimes"	"sometimes"	"rare"	"sometimes"		
"25LW5XH0JPPSOPCII0CSX75KMPWLF2"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"principles"	"morals"	"cause"	"laws"	"beliefs"	"laws"	"standards"	"rules"	"rules"	"reason"	"rules"	"values"	"rules"	"values"	"values"	"morals"	"values"	"values"	"foundations"	"rules"	"rules"	"values"	"propositions"	"rules"	"morals"	"rules"	"rules"	"truths"	"beliefs"	"rules"	"morals"	"fundamentals"	"rules"	"ideals"	"ideals"	"ground rules"	"ethics"	"rule"	"ideas"	"rules"	"ideals"	"rules"	"truth"	"rules"	"rules"	"morals"	"ideals"	"ideas"	"conduct"	"rules"	"morals"	"rules"		
"2HFULRGNTBJ3S95H9QG7V62KIEZ7TN"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"object"	"thing"	"goal"	"item"	"aim"	"goal"	"item"	"goal"	"point"	"goal"	"focus"	"item"	"product"	"goal"	"thing"	"thing"	"goal"	"aim"	"motive"	"goal"	"goal"	"goal"	"goal"	"reason"	"target"	"aim"	"reason"	"goal"	"item"	"goal"	"goal"	"target"	"goal"	"thing"	"aim"	"aim"	"goal"	"aim"	"goal"	"thing"	"goal"	"disagree"	"goal"	"goal"	"item"	"prize"	"intention"	"goal"	"aim"	"thing"	"goal"	"goal"		
"21405BMJTUHY2P8DTKIAFS5WN4WLG1"	"25D2JE1M7PKKF8JGAZQAK04LZYTXQE"	"garment"	"clothing"	"gear"	"clothing"	"dress"	"cloth"	"cloth"	"clothing"	"clothing"	"clothing"	"outfit"	"cloth"	"gear"	"clothing"	"clothing"	"dress"	"clothes"	"clothing"	"clothing"	"outfit"	"clothes"	"outfit"	"clothing"	"clothes"	"costume"	"clothes"	"outfit"	"clothing"	"outfit"	"clothing"	"outfit"	"clothing"	"clothing"	"clothes"	"attire"	"outfit"	"outfit"	"costume"	"clothing"	"clothing"	"apparel"	"piece of clothing"	"clothing"	"piece"	"apparel"	"clothing"	"clothing"	"dress"	"clothes"	"clothing"	"clothes"	"clothing"		
